"Localidades";"Períodos";"Taxa Geométrica de Crescimento Anual da População - 2010/2019 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 2000/2010 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1991/2000 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1980/1991 (Em % a.a.)";"Cód. IBGE"
"Sales Oliveira";"2010";"";"1,27";"";"";3544905
"Sales Oliveira";"2019";"0,89";"";"";"";3544905
"Salesópolis";"1991";"";"";"";"0,56";3545001
"Salesópolis";"2000";"";"";"2,65";"";3545001
"Salesópolis";"2010";"";"0,87";"";"";3545001
"Salesópolis";"2019";"0,75";"";"";"";3545001
"Salmourão";"1991";"";"";"";"-0,6";3545100
"Salmourão";"2000";"";"";"-0,17";"";3545100
"Salmourão";"2010";"";"0,9";"";"";3545100
"Salmourão";"2019";"0,61";"";"";"";3545100
"Saltinho";"1991";"";"";"";"NA";3545159
"Saltinho";"2000";"";"";"1,42";"";3545159
"Saltinho";"2010";"";"1,98";"";"";3545159
"Saltinho";"2019";"1,12";"";"";"";3545159
"Salto";"1991";"";"";"";"4,95";3545209
"Salto";"2000";"";"";"2,95";"";3545209
"Salto";"2010";"";"1,27";"";"";3545209
"Salto";"2019";"0,91";"";"";"";3545209
"Salto de Pirapora";"1991";"";"";"";"5,08";3545308
"Salto de Pirapora";"2000";"";"";"3,74";"";3545308
"Salto de Pirapora";"2010";"";"1,38";"";"";3545308
"Salto de Pirapora";"2019";"1";"";"";"";3545308
"Salto Grande";"1991";"";"";"";"0,86";3545407
"Salto Grande";"2000";"";"";"1,02";"";3545407
"Salto Grande";"2010";"";"0,4";"";"";3545407
"Salto Grande";"2019";"0,35";"";"";"";3545407
"Sandovalina";"1991";"";"";"";"-1,2";3545506
"Sandovalina";"2000";"";"";"2,78";"";3545506
"Sandovalina";"2010";"";"1,83";"";"";3545506
"Sandovalina";"2019";"1,33";"";"";"";3545506
"Santa Adélia";"1991";"";"";"";"1,88";3545605
"Santa Adélia";"2000";"";"";"0,74";"";3545605
"Santa Adélia";"2010";"";"0,64";"";"";3545605
"Santa Adélia";"2019";"0,39";"";"";"";3545605
"Santa Albertina";"1991";"";"";"";"-0,46";3545704
"Santa Albertina";"2000";"";"";"-0,56";"";3545704
"Santa Albertina";"2010";"";"0,24";"";"";3545704
"Santa Albertina";"2019";"-0,09";"";"";"";3545704
"Santa Bárbara d'Oeste";"1991";"";"";"";"5,99";3545803
"Santa Bárbara d'Oeste";"2000";"";"";"1,85";"";3545803
"Santa Bárbara d'Oeste";"2010";"";"0,58";"";"";3545803
"Santa Bárbara d'Oeste";"2019";"0,48";"";"";"";3545803
"Santa Branca";"1991";"";"";"";"1,76";3546009
"Santa Branca";"2000";"";"";"2,63";"";3546009
"Santa Branca";"2010";"";"0,58";"";"";3546009
"Santa Branca";"2019";"0,3";"";"";"";3546009
"Santa Clara d'Oeste";"1991";"";"";"";"-0,53";3546108
"Santa Clara d'Oeste";"2000";"";"";"-1,79";"";3546108
"Santa Clara d'Oeste";"2010";"";"-0,2";"";"";3546108
"Santa Clara d'Oeste";"2019";"-0,37";"";"";"";3546108
"Santa Cruz da Conceição";"1991";"";"";"";"0,79";3546207
"Santa Cruz da Conceição";"2000";"";"";"2,1";"";3546207
"Santa Cruz da Conceição";"2010";"";"1,27";"";"";3546207
"Santa Cruz da Conceição";"2019";"0,85";"";"";"";3546207
"Santa Cruz da Esperança";"1991";"";"";"";"NA";3546256
"Santa Cruz da Esperança";"2000";"";"";"0,65";"";3546256
"Santa Cruz da Esperança";"2010";"";"0,84";"";"";3546256
"Santa Cruz da Esperança";"2019";"0,63";"";"";"";3546256
"Santa Cruz das Palmeiras";"1991";"";"";"";"2,79";3546306
"Santa Cruz das Palmeiras";"2000";"";"";"1,83";"";3546306
"Santa Cruz das Palmeiras";"2010";"";"1,6";"";"";3546306
"Santa Cruz das Palmeiras";"2019";"1,23";"";"";"";3546306
"Santa Cruz do Rio Pardo";"1991";"";"";"";"1,48";3546405
"Santa Cruz do Rio Pardo";"2000";"";"";"1,28";"";3546405
"Santa Cruz do Rio Pardo";"2010";"";"0,72";"";"";3546405
"Santa Cruz do Rio Pardo";"2019";"0,5";"";"";"";3546405
"Santa Ernestina";"1991";"";"";"";"4,37";3546504
"Santa Ernestina";"2000";"";"";"0,33";"";3546504
"Santa Ernestina";"2010";"";"-0,3";"";"";3546504
"Santa Ernestina";"2019";"-0,08";"";"";"";3546504
"Santa Fé do Sul";"1991";"";"";"";"1,15";3546603
"Santa Fé do Sul";"2000";"";"";"1,55";"";3546603
"Santa Fé do Sul";"2010";"";"0,99";"";"";3546603
"Santa Fé do Sul";"2019";"0,54";"";"";"";3546603
"Santa Gertrudes";"1991";"";"";"";"2,51";3546702
"Santa Gertrudes";"2000";"";"";"4,74";"";3546702
"Santa Gertrudes";"2010";"";"3,14";"";"";3546702
"Santa Gertrudes";"2019";"1,97";"";"";"";3546702
"Santa Isabel";"1991";"";"";"";"2,47";3546801
"Santa Isabel";"2000";"";"";"1,62";"";3546801
"Santa Isabel";"2010";"";"1,44";"";"";3546801
"Santa Isabel";"2019";"0,9";"";"";"";3546801
"Santa Lúcia";"1991";"";"";"";"2,05";3546900
"Santa Lúcia";"2000";"";"";"2,52";"";3546900
"Santa Lúcia";"2010";"";"0,51";"";"";3546900
"Santa Lúcia";"2019";"0,38";"";"";"";3546900
"Santa Maria da Serra";"1991";"";"";"";"3,88";3547007
"Santa Maria da Serra";"2000";"";"";"1";"";3547007
"Santa Maria da Serra";"2010";"";"1,48";"";"";3547007
"Santa Maria da Serra";"2019";"1,29";"";"";"";3547007
"Santa Mercedes";"1991";"";"";"";"-2,89";3547106
"Santa Mercedes";"2000";"";"";"-0,73";"";3547106
"Santa Mercedes";"2010";"";"0,09";"";"";3547106
"Santa Mercedes";"2019";"-0,07";"";"";"";3547106
"Santa Rita d'Oeste";"1991";"";"";"";"-1,74";3547403
"Santa Rita d'Oeste";"2000";"";"";"-2,83";"";3547403
"Santa Rita d'Oeste";"2010";"";"-0,6";"";"";3547403
"Santa Rita d'Oeste";"2019";"-0,56";"";"";"";3547403
"Santa Rita do Passa Quatro";"1991";"";"";"";"1,32";3547502
"Santa Rita do Passa Quatro";"2000";"";"";"0,91";"";3547502
"Santa Rita do Passa Quatro";"2010";"";"0,14";"";"";3547502
"Santa Rita do Passa Quatro";"2019";"-0,03";"";"";"";3547502
"Santa Rosa de Viterbo";"1991";"";"";"";"2,63";3547601
"Santa Rosa de Viterbo";"2000";"";"";"1,26";"";3547601
"Santa Rosa de Viterbo";"2010";"";"1,08";"";"";3547601
"Santa Rosa de Viterbo";"2019";"0,72";"";"";"";3547601
"Santa Salete";"1991";"";"";"";"NA";3547650
"Santa Salete";"2000";"";"";"-0,05";"";3547650
"Santa Salete";"2010";"";"0,48";"";"";3547650
"Santa Salete";"2019";"-0,04";"";"";"";3547650
"Santana da Ponte Pensa";"1991";"";"";"";"-1,57";3547205
"Santana da Ponte Pensa";"2000";"";"";"-2,41";"";3547205
"Santana da Ponte Pensa";"2010";"";"-1,43";"";"";3547205
"Santana da Ponte Pensa";"2019";"-0,86";"";"";"";3547205
"Santana de Parnaíba";"1991";"";"";"";"12,71";3547304
"Santana de Parnaíba";"2000";"";"";"8,11";"";3547304
"Santana de Parnaíba";"2010";"";"3,85";"";"";3547304
"Santana de Parnaíba";"2019";"2,48";"";"";"";3547304
"Santo Anastácio";"1991";"";"";"";"0,16";3547700
"Santo Anastácio";"2000";"";"";"0,45";"";3547700
"Santo Anastácio";"2010";"";"-0,13";"";"";3547700
"Santo Anastácio";"2019";"-0,18";"";"";"";3547700
"Santo André";"1991";"";"";"";"0,97";3547809
"Santo André";"2000";"";"";"0,61";"";3547809
"Santo André";"2010";"";"0,41";"";"";3547809
"Santo André";"2019";"0,26";"";"";"";3547809
"Santo Antônio da Alegria";"1991";"";"";"";"-0,36";3547908
"Santo Antônio da Alegria";"2000";"";"";"1,42";"";3547908
"Santo Antônio da Alegria";"2010";"";"0,9";"";"";3547908
"Santo Antônio da Alegria";"2019";"0,53";"";"";"";3547908
"Santo Antônio de Posse";"1991";"";"";"";"2,54";3548005
"Santo Antônio de Posse";"2000";"";"";"3,35";"";3548005
"Santo Antônio de Posse";"2010";"";"1,33";"";"";3548005
"Santo Antônio de Posse";"2019";"1,04";"";"";"";3548005
"Santo Antônio do Aracanguá";"1991";"";"";"";"NA";3548054
"Santo Antônio do Aracanguá";"2000";"";"";"-0,13";"";3548054
"Santo Antônio do Aracanguá";"2010";"";"0,95";"";"";3548054
"Santo Antônio do Aracanguá";"2019";"0,81";"";"";"";3548054
"Santo Antônio do Jardim";"1991";"";"";"";"0,3";3548104
"Santo Antônio do Jardim";"2000";"";"";"0,88";"";3548104
"Santo Antônio do Jardim";"2010";"";"-0,34";"";"";3548104
"Santo Antônio do Jardim";"2019";"-0,21";"";"";"";3548104
"Santo Antônio do Pinhal";"1991";"";"";"";"0,04";3548203
"Santo Antônio do Pinhal";"2000";"";"";"1,85";"";3548203
"Santo Antônio do Pinhal";"2010";"";"0,26";"";"";3548203
"Santo Antônio do Pinhal";"2019";"0,22";"";"";"";3548203
"Santo Expedito";"1991";"";"";"";"-0,16";3548302
"Santo Expedito";"2000";"";"";"1,42";"";3548302
"Santo Expedito";"2010";"";"1,05";"";"";3548302
"Santo Expedito";"2019";"0,6";"";"";"";3548302
"Santópolis do Aguapeí";"1991";"";"";"";"0,95";3548401
"Santópolis do Aguapeí";"2000";"";"";"-0,08";"";3548401
"Santópolis do Aguapeí";"2010";"";"1,14";"";"";3548401
"Santópolis do Aguapeí";"2019";"0,9";"";"";"";3548401
"Santos";"1991";"";"";"";"0,25";3548500
"Santos";"2000";"";"";"0,02";"";3548500
"Santos";"2010";"";"0,03";"";"";3548500
"Santos";"2019";"0,22";"";"";"";3548500
"São Bento do Sapucaí";"1991";"";"";"";"-0,62";3548609
"São Bento do Sapucaí";"2000";"";"";"1,92";"";3548609
"São Bento do Sapucaí";"2010";"";"0,12";"";"";3548609
"São Bento do Sapucaí";"2019";"0,06";"";"";"";3548609
"São Bernardo do Campo";"1991";"";"";"";"2,63";3548708
"São Bernardo do Campo";"2000";"";"";"2,46";"";3548708
"São Bernardo do Campo";"2010";"";"0,87";"";"";3548708
"São Bernardo do Campo";"2019";"0,61";"";"";"";3548708
"São Caetano do Sul";"1991";"";"";"";"-0,81";3548807
"São Caetano do Sul";"2000";"";"";"-0,7";"";3548807
"São Caetano do Sul";"2010";"";"0,62";"";"";3548807
"São Caetano do Sul";"2019";"0,14";"";"";"";3548807
"São Carlos";"1991";"";"";"";"2,58";3548906
"São Carlos";"2000";"";"";"2,26";"";3548906
"São Carlos";"2010";"";"1,41";"";"";3548906
"São Carlos";"2019";"0,92";"";"";"";3548906
"São Francisco";"1991";"";"";"";"-0,34";3549003
"São Francisco";"2000";"";"";"1,33";"";3549003
"São Francisco";"2010";"";"-0,23";"";"";3549003
"São Francisco";"2019";"-0,42";"";"";"";3549003
"São João da Boa Vista";"1991";"";"";"";"1,94";3549102
"São João da Boa Vista";"2000";"";"";"1,29";"";3549102
"São João da Boa Vista";"2010";"";"0,78";"";"";3549102
"São João da Boa Vista";"2019";"0,45";"";"";"";3549102
"São João das Duas Pontes";"1991";"";"";"";"-0,55";3549201
"São João das Duas Pontes";"2000";"";"";"-0,54";"";3549201
"São João das Duas Pontes";"2010";"";"-0,36";"";"";3549201
"São João das Duas Pontes";"2019";"-0,36";"";"";"";3549201
"São João de Iracema";"1991";"";"";"";"NA";3549250
"São João de Iracema";"2000";"";"";"-0,32";"";3549250
"São João de Iracema";"2010";"";"0,63";"";"";3549250
"São João de Iracema";"2019";"0,4";"";"";"";3549250
"São João do Pau d'Alho";"1991";"";"";"";"-2,2";3549300
"São João do Pau d'Alho";"2000";"";"";"-2,81";"";3549300
"São João do Pau d'Alho";"2010";"";"-0,38";"";"";3549300
"São João do Pau d'Alho";"2019";"-0,59";"";"";"";3549300
"São Joaquim da Barra";"1991";"";"";"";"1,87";3549409
"São Joaquim da Barra";"2000";"";"";"1,65";"";3549409
"São Joaquim da Barra";"2010";"";"1,13";"";"";3549409
"São Joaquim da Barra";"2019";"0,8";"";"";"";3549409
"São José da Bela Vista";"1991";"";"";"";"0,64";3549508
"São José da Bela Vista";"2000";"";"";"1,4";"";3549508
"São José da Bela Vista";"2010";"";"0,41";"";"";3549508
"São José da Bela Vista";"2019";"0,38";"";"";"";3549508
"São José do Barreiro";"1991";"";"";"";"-0,24";3549607
"São José do Barreiro";"2000";"";"";"0,57";"";3549607
"São José do Barreiro";"2010";"";"-0,15";"";"";3549607
"São José do Barreiro";"2019";"-0,02";"";"";"";3549607
"São José do Rio Pardo";"1991";"";"";"";"1,92";3549706
"São José do Rio Pardo";"2000";"";"";"1,32";"";3549706
"São José do Rio Pardo";"2010";"";"0,37";"";"";3549706
"São José do Rio Pardo";"2019";"0,25";"";"";"";3549706
"São José do Rio Preto";"1991";"";"";"";"3,77";3549805
"São José do Rio Preto";"2000";"";"";"2,78";"";3549805
"São José do Rio Preto";"2010";"";"1,32";"";"";3549805
"São José do Rio Preto";"2019";"0,96";"";"";"";3549805
"São José dos Campos";"1991";"";"";"";"3,99";3549904
"São José dos Campos";"2000";"";"";"2,29";"";3549904
"São José dos Campos";"2010";"";"1,57";"";"";3549904
"São José dos Campos";"2019";"1,24";"";"";"";3549904
"São Lourenço da Serra";"1991";"";"";"";"NA";3549953
"São Lourenço da Serra";"2000";"";"";"5,48";"";3549953
"São Lourenço da Serra";"2010";"";"1,4";"";"";3549953
"São Lourenço da Serra";"2019";"1,11";"";"";"";3549953
"São Luís do Paraitinga";"1991";"";"";"";"0,14";3550001
"São Luís do Paraitinga";"2000";"";"";"0,58";"";3550001
"São Luís do Paraitinga";"2010";"";"-0,03";"";"";3550001
"São Luís do Paraitinga";"2019";"0,16";"";"";"";3550001
"São Manuel";"1991";"";"";"";"2,3";3550100
"São Manuel";"2000";"";"";"1,42";"";3550100
"São Manuel";"2010";"";"0,49";"";"";3550100
"São Manuel";"2019";"0,32";"";"";"";3550100
"São Miguel Arcanjo";"1991";"";"";"";"3,67";3550209
"São Miguel Arcanjo";"2000";"";"";"2,17";"";3550209
"São Miguel Arcanjo";"2010";"";"0,23";"";"";3550209
"São Miguel Arcanjo";"2019";"0,17";"";"";"";3550209
"São Paulo";"1991";"";"";"";"1,15";3550308
"São Paulo";"2000";"";"";"0,91";"";3550308
"São Paulo";"2010";"";"0,76";"";"";3550308
"São Paulo";"2019";"0,55";"";"";"";3550308
"São Pedro";"1991";"";"";"";"3,89";3550407
"São Pedro";"2000";"";"";"3,78";"";3550407
"São Pedro";"2010";"";"1,29";"";"";3550407
"São Pedro";"2019";"0,8";"";"";"";3550407
"São Pedro do Turvo";"1991";"";"";"";"-0,68";3550506
"São Pedro do Turvo";"2000";"";"";"-0,22";"";3550506
"São Pedro do Turvo";"2010";"";"0,44";"";"";3550506
"São Pedro do Turvo";"2019";"0,23";"";"";"";3550506
"São Roque";"1991";"";"";"";"2,29";3550605
"São Roque";"2000";"";"";"1,83";"";3550605
"São Roque";"2010";"";"1,69";"";"";3550605
"São Roque";"2019";"1,07";"";"";"";3550605
"São Sebastião";"1991";"";"";"";"5,35";3550704
"São Sebastião";"2000";"";"";"6,26";"";3550704
"São Sebastião";"2010";"";"2,48";"";"";3550704
"São Sebastião";"2019";"1,69";"";"";"";3550704
"São Sebastião da Grama";"1991";"";"";"";"0,37";3550803
"São Sebastião da Grama";"2000";"";"";"0,6";"";3550803
"São Sebastião da Grama";"2010";"";"-0,28";"";"";3550803
"São Sebastião da Grama";"2019";"-0,15";"";"";"";3550803
"São Simão";"1991";"";"";"";"1,05";3550902
"São Simão";"2000";"";"";"1,49";"";3550902
"São Simão";"2010";"";"0,49";"";"";3550902
"São Simão";"2019";"0,35";"";"";"";3550902
"São Vicente";"1991";"";"";"";"3,05";3551009
"São Vicente";"2000";"";"";"1,4";"";3551009
"São Vicente";"2010";"";"0,92";"";"";3551009
"São Vicente";"2019";"0,75";"";"";"";3551009
"Sarapuí";"1991";"";"";"";"2,1";3551108
"Sarapuí";"2000";"";"";"2,07";"";3551108
"Sarapuí";"2010";"";"1,47";"";"";3551108
"Sarapuí";"2019";"1,16";"";"";"";3551108
"Sarutaiá";"1991";"";"";"";"0,22";3551207
"Sarutaiá";"2000";"";"";"2,35";"";3551207
"Sarutaiá";"2010";"";"-0,3";"";"";3551207
"Sarutaiá";"2019";"0,06";"";"";"";3551207
"Sebastianópolis do Sul";"1991";"";"";"";"0,54";3551306
"Sebastianópolis do Sul";"2000";"";"";"0,19";"";3551306
"Sebastianópolis do Sul";"2010";"";"1,75";"";"";3551306
"Sebastianópolis do Sul";"2019";"0,87";"";"";"";3551306
"Serra Azul";"1991";"";"";"";"2,28";3551405
"Serra Azul";"2000";"";"";"2,14";"";3551405
"Serra Azul";"2010";"";"4,2";"";"";3551405
"Serra Azul";"2019";"0,91";"";"";"";3551405
"Serra Negra";"1991";"";"";"";"2,06";3551603
"Serra Negra";"2000";"";"";"1,1";"";3551603
"Serra Negra";"2010";"";"1,02";"";"";3551603
"Serra Negra";"2019";"0,41";"";"";"";3551603
"Serrana";"1991";"";"";"";"4,46";3551504
"Serrana";"2000";"";"";"3,92";"";3551504
"Serrana";"2010";"";"1,79";"";"";3551504
"Serrana";"2019";"1,37";"";"";"";3551504
"Sertãozinho";"1991";"";"";"";"3,93";3551702
"Sertãozinho";"2000";"";"";"2,12";"";3551702
"Sertãozinho";"2010";"";"1,52";"";"";3551702
"Sertãozinho";"2019";"1,09";"";"";"";3551702
"Sete Barras";"1991";"";"";"";"0,93";3551801
"Sete Barras";"2000";"";"";"1,06";"";3551801
"Sete Barras";"2010";"";"-0,52";"";"";3551801
"Sete Barras";"2019";"-0,32";"";"";"";3551801
"Severínia";"1991";"";"";"";"2,45";3551900
"Severínia";"2000";"";"";"3,18";"";3551900
"Severínia";"2010";"";"1,33";"";"";3551900
"Severínia";"2019";"1,02";"";"";"";3551900
"Silveiras";"1991";"";"";"";"2,1";3552007
"Silveiras";"2000";"";"";"1,05";"";3552007
"Silveiras";"2010";"";"0,75";"";"";3552007
"Silveiras";"2019";"0,7";"";"";"";3552007
"Socorro";"1991";"";"";"";"2,41";3552106
"Socorro";"2000";"";"";"0,73";"";3552106
"Socorro";"2010";"";"1,15";"";"";3552106
"Socorro";"2019";"0,58";"";"";"";3552106
"Sorocaba";"1991";"";"";"";"3,12";3552205
"Sorocaba";"2000";"";"";"3,02";"";3552205
"Sorocaba";"2010";"";"1,75";"";"";3552205
"Sorocaba";"2019";"1,19";"";"";"";3552205
"Sud Mennucci";"1991";"";"";"";"2,74";3552304
"Sud Mennucci";"2000";"";"";"0,28";"";3552304
"Sud Mennucci";"2010";"";"0,1";"";"";3552304
"Sud Mennucci";"2019";"0,37";"";"";"";3552304
"Sumaré";"1991";"";"";"";"7,53";3552403
"Sumaré";"2000";"";"";"3,88";"";3552403
"Sumaré";"2010";"";"2,08";"";"";3552403
"Sumaré";"2019";"1,65";"";"";"";3552403
"Suzanápolis";"1991";"";"";"";"NA";3552551
"Suzanápolis";"2000";"";"";"1,71";"";3552551
"Suzanápolis";"2010";"";"1,95";"";"";3552551
"Suzanápolis";"2019";"1,59";"";"";"";3552551
"Suzano";"1991";"";"";"";"4,21";3552502
"Suzano";"2000";"";"";"4,15";"";3552502
"Suzano";"2010";"";"1,41";"";"";3552502
"Suzano";"2019";"1,05";"";"";"";3552502
"Tabapuã";"1991";"";"";"";"0,52";3552601
"Tabapuã";"2000";"";"";"0,59";"";3552601
"Tabapuã";"2010";"";"0,8";"";"";3552601
"Tabapuã";"2019";"0,47";"";"";"";3552601
"Tabatinga";"1991";"";"";"";"2,76";3552700
"Tabatinga";"2000";"";"";"2,11";"";3552700
"Tabatinga";"2010";"";"1,24";"";"";3552700
"Tabatinga";"2019";"0,81";"";"";"";3552700
"Taboão da Serra";"1991";"";"";"";"4,58";3552809
"Taboão da Serra";"2000";"";"";"2,44";"";3552809
"Taboão da Serra";"2010";"";"2,15";"";"";3552809
"Taboão da Serra";"2019";"1,53";"";"";"";3552809
"Taciba";"1991";"";"";"";"0,41";3552908
"Taciba";"2000";"";"";"1,05";"";3552908
"Taciba";"2010";"";"0,91";"";"";3552908
"Taciba";"2019";"0,59";"";"";"";3552908
"Taguaí";"1991";"";"";"";"1,05";3553005
"Taguaí";"2000";"";"";"1,68";"";3553005
"Taguaí";"2010";"";"3,77";"";"";3553005
"Taguaí";"2019";"2,15";"";"";"";3553005
"Taiaçu";"1991";"";"";"";"3,34";3553104
"Taiaçu";"2000";"";"";"1,32";"";3553104
"Taiaçu";"2010";"";"0,49";"";"";3553104
"Taiaçu";"2019";"0,24";"";"";"";3553104
"Taiúva";"1991";"";"";"";"1,51";3553203
"Taiúva";"2000";"";"";"0,62";"";3553203
"Taiúva";"2010";"";"-0,1";"";"";3553203
"Taiúva";"2019";"1,61";"";"";"";3553203
"Tambaú";"1991";"";"";"";"2,31";3553302
"Tambaú";"2000";"";"";"1,31";"";3553302
"Tambaú";"2010";"";"0,08";"";"";3553302
"Tambaú";"2019";"0,17";"";"";"";3553302
"Tanabi";"1991";"";"";"";"0,53";3553401
"Tanabi";"2000";"";"";"0,54";"";3553401
"Tanabi";"2010";"";"0,63";"";"";3553401
"Tanabi";"2019";"0,44";"";"";"";3553401
"Tapiraí";"1991";"";"";"";"1,08";3553500
"Tapiraí";"2000";"";"";"4,52";"";3553500
"Tapiraí";"2010";"";"-0,63";"";"";3553500
"Tapiraí";"2019";"-0,42";"";"";"";3553500
"Tapiratiba";"1991";"";"";"";"1,62";3553609
"Tapiratiba";"2000";"";"";"1,06";"";3553609
"Tapiratiba";"2010";"";"-0,15";"";"";3553609
"Tapiratiba";"2019";"-0,11";"";"";"";3553609
"Taquaral";"1991";"";"";"";"NA";3553658
"Taquaral";"2000";"";"";"0,64";"";3553658
"Taquaral";"2010";"";"0,02";"";"";3553658
"Taquaral";"2019";"0,09";"";"";"";3553658
"Taquaritinga";"1991";"";"";"";"2,46";3553708
"Taquaritinga";"2000";"";"";"1,2";"";3553708
"Taquaritinga";"2010";"";"0,37";"";"";3553708
"Taquaritinga";"2019";"0,1";"";"";"";3553708
"Taquarituba";"1991";"";"";"";"1,26";3553807
"Taquarituba";"2000";"";"";"1,91";"";3553807
"Taquarituba";"2010";"";"0,15";"";"";3553807
"Taquarituba";"2019";"0,4";"";"";"";3553807
"Taquarivaí";"1991";"";"";"";"NA";3553856
"Taquarivaí";"2000";"";"";"4,27";"";3553856
"Taquarivaí";"2010";"";"1,45";"";"";3553856
"Taquarivaí";"2019";"1,11";"";"";"";3553856
"Tarabai";"1991";"";"";"";"2,54";3553906
"Tarabai";"2000";"";"";"2,34";"";3553906
"Tarabai";"2010";"";"1,34";"";"";3553906
"Tarabai";"2019";"0,97";"";"";"";3553906
"Tarumã";"1991";"";"";"";"NA";3553955
"Tarumã";"2000";"";"";"1,33";"";3553955
"Tarumã";"2010";"";"1,83";"";"";3553955
"Tarumã";"2019";"1,43";"";"";"";3553955
"Tatuí";"1991";"";"";"";"2,98";3554003
"Tatuí";"2000";"";"";"2,54";"";3554003
"Tatuí";"2010";"";"1,41";"";"";3554003
"Tatuí";"2019";"1,15";"";"";"";3554003
"Taubaté";"1991";"";"";"";"1,82";3554102
"Taubaté";"2000";"";"";"1,9";"";3554102
"Taubaté";"2010";"";"1,34";"";"";3554102
"Taubaté";"2019";"1,01";"";"";"";3554102
"Tejupá";"1991";"";"";"";"-0,23";3554201
"Tejupá";"2000";"";"";"1,32";"";3554201
"Tejupá";"2010";"";"-1,02";"";"";3554201
"Tejupá";"2019";"-0,26";"";"";"";3554201
"Teodoro Sampaio";"1991";"";"";"";"5,85";3554300
"Teodoro Sampaio";"2000";"";"";"0,71";"";3554300
"Teodoro Sampaio";"2010";"";"0,67";"";"";3554300
"Teodoro Sampaio";"2019";"0,48";"";"";"";3554300
"Terra Roxa";"1991";"";"";"";"1,29";3554409
"Terra Roxa";"2000";"";"";"1,75";"";3554409
"Terra Roxa";"2010";"";"0,94";"";"";3554409
"Terra Roxa";"2019";"0,71";"";"";"";3554409
"Tietê";"1991";"";"";"";"2,56";3554508
"Tietê";"2000";"";"";"2,78";"";3554508
"Tietê";"2010";"";"1,52";"";"";3554508
"Tietê";"2019";"1,12";"";"";"";3554508
"Timburi";"1991";"";"";"";"-1,38";3554607
"Timburi";"2000";"";"";"-0,5";"";3554607
"Timburi";"2010";"";"-0,32";"";"";3554607
"Timburi";"2019";"-0,35";"";"";"";3554607
"Torre de Pedra";"1991";"";"";"";"NA";3554656
"Torre de Pedra";"2000";"";"";"6,27";"";3554656
"Torre de Pedra";"2010";"";"0,55";"";"";3554656
"Torre de Pedra";"2019";"0,29";"";"";"";3554656
"Torrinha";"1991";"";"";"";"1,27";3554706
"Torrinha";"2000";"";"";"1,83";"";3554706
"Torrinha";"2010";"";"0,55";"";"";3554706
"Torrinha";"2019";"0,41";"";"";"";3554706
"Trabiju";"1991";"";"";"";"NA";3554755
"Trabiju";"2000";"";"";"-0,02";"";3554755
"Trabiju";"2010";"";"1,12";"";"";3554755
"Trabiju";"2019";"0,99";"";"";"";3554755
"Tremembé";"1991";"";"";"";"3,89";3554805
"Tremembé";"2000";"";"";"2,69";"";3554805
"Tremembé";"2010";"";"1,65";"";"";3554805
"Tremembé";"2019";"1,19";"";"";"";3554805
"Três Fronteiras";"1991";"";"";"";"-0,97";3554904
"Três Fronteiras";"2000";"";"";"0,14";"";3554904
"Três Fronteiras";"2010";"";"0,51";"";"";3554904
"Três Fronteiras";"2019";"0,23";"";"";"";3554904
"Tuiuti";"1991";"";"";"";"NA";3554953
"Tuiuti";"2000";"";"";"2,16";"";3554953
"Tuiuti";"2010";"";"1,81";"";"";3554953
"Tuiuti";"2019";"1,04";"";"";"";3554953
"Tupã";"1991";"";"";"";"0,73";3555000
"Tupã";"2000";"";"";"0,86";"";3555000
"Tupã";"2010";"";"0,03";"";"";3555000
"Tupã";"2019";"-0,1";"";"";"";3555000
"Tupi Paulista";"1991";"";"";"";"-1,38";3555109
"Tupi Paulista";"2000";"";"";"-0,63";"";3555109
"Tupi Paulista";"2010";"";"0,71";"";"";3555109
"Tupi Paulista";"2019";"0,45";"";"";"";3555109
"Turiúba";"1991";"";"";"";"-0,59";3555208
"Turiúba";"2000";"";"";"-1,05";"";3555208
"Turiúba";"2010";"";"0,17";"";"";3555208
"Turiúba";"2019";"-0,09";"";"";"";3555208
"Turmalina";"1991";"";"";"";"-0,81";3555307
"Turmalina";"2000";"";"";"-1,66";"";3555307
"Turmalina";"2010";"";"-1,77";"";"";3555307
"Turmalina";"2019";"-0,93";"";"";"";3555307
"Ubarana";"1991";"";"";"";"NA";3555356
"Ubarana";"2000";"";"";"4,57";"";3555356
"Ubarana";"2010";"";"2,3";"";"";3555356
"Ubarana";"2019";"1,41";"";"";"";3555356
"Ubatuba";"1991";"";"";"";"5,18";3555406
"Ubatuba";"2000";"";"";"3,97";"";3555406
"Ubatuba";"2010";"";"1,68";"";"";3555406
"Ubatuba";"2019";"1,24";"";"";"";3555406
"Ubirajara";"1991";"";"";"";"-0,08";3555505
"Ubirajara";"2000";"";"";"-0,1";"";3555505
"Ubirajara";"2010";"";"0,63";"";"";3555505
"Ubirajara";"2019";"0,53";"";"";"";3555505
"Uchoa";"1991";"";"";"";"0,54";3555604
"Uchoa";"2000";"";"";"0,96";"";3555604
"Uchoa";"2010";"";"0,48";"";"";3555604
"Uchoa";"2019";"0,23";"";"";"";3555604
"União Paulista";"1991";"";"";"";"0,63";3555703
