"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Igaratá";"2017";"449";"429";"20";"1435";"269";"1166";"-";"419";"419";"-";"-";"44";"12";"32";"-";3520202
"Igaratá";"2018";"477";"458";"19";"1456";"301";"1155";"-";"378";"378";"";"";"47";"9";"38";"-";3520202
"Igaraçu do Tietê";"2014";"1089";"1000";"89";"2692";"1174";"1103";"415";"799";"740";"-";"59";"64";"-";"-";"64";3520004
"Igaraçu do Tietê";"2015";"1119";"1030";"89";"2591";"1037";"1070";"484";"788";"725";"-";"63";"205";"105";"55";"45";3520004
"Igaraçu do Tietê";"2016";"1095";"1000";"95";"2661";"942";"1203";"516";"776";"708";"-";"68";"254";"113";"78";"63";3520004
"Igaraçu do Tietê";"2017";"1081";"980";"101";"2572";"812";"1247";"513";"702";"647";"-";"55";"245";"111";"82";"52";3520004
"Igaraçu do Tietê";"2018";"1066";"969";"97";"2522";"779";"1242";"501";"682";"639";"";"43";"234";"122";"79";"33";3520004
"Iguape";"2014";"1076";"933";"139";"4343";"1810";"2099";"434";"1343";"1185";"-";"158";"60";"-";"-";"60";3520301
"Iguape";"2015";"1129";"976";"153";"4230";"1710";"1986";"534";"1336";"1190";"-";"146";"105";"37";"15";"53";3520301
"Iguape";"2016";"1205";"1056";"149";"4204";"1728";"1936";"540";"1407";"1237";"-";"170";"126";"44";"32";"50";3520301
"Iguape";"2017";"1131";"987";"139";"4122";"1601";"2005";"516";"1413";"1257";"-";"156";"129";"47";"33";"49";3520301
"Iguape";"2018";"1117";"972";"144";"3996";"1519";"1957";"520";"1308";"1169";"";"139";"127";"42";"37";"48";3520301
"Ilha Comprida";"2014";"450";"450";"-";"1458";"-";"1458";"-";"332";"332";"-";"-";"43";"-";"-";"43";3520426
